ID_EXPERIMENTO	 ALGORITMO	 HYPER_VOLUME	 GD	 IGD	 SPREAD	 EPSILON	 CS.NSGA	 CS.SPEA	 CS.ILS	 CS.OPMOP	 CS.MILS	 TEMPO_EXEC	 DATA_HORA_EXECUCAO	 CENARIO	 TEMPO_SIMULACAO	 ALGORITMO 	 TAM_POP	 NUM_AVA_FUNC_OBJ	 PROB_CRUZ	 PROB_MUT	 NUM_OBJ	 TIPO_CODIFICACAO	 TIPO_CRUZAMENTO	 TIPO_MUTACAO	 CONJUNTO_OBJ
1	NSGA	0.4622679453196235	0.0016207790639352535	0.005092378792693322	0.7367120834038853	392.0	 NA	0.73	0.7666666666666667	0.9333333333333333	0.5	5639	Mon_Dec_02_16	Min3.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
2	NSGA	0.46779708213977145	0.0014853952851824465	0.0052592867197834995	0.6500124576655858	410.0	 NA	0.6275	0.75	0.8653846153846154	0.375	5514	Mon_Dec_02_16	Min3.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
3	NSGA	0.4435635616072463	0.0018372259240435644	0.007088960948643161	0.7112797466734215	998.0	 NA	0.26582278481012656	0.7333333333333333	0.8205128205128205	0.5	5448	Mon_Dec_02_16	Min3.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
4	NSGA	0.4614650844221953	0.0013849565613085876	0.0036067362873027455	0.7020459317343157	1241.0	 NA	0.3575	0.7666666666666667	0.9411764705882353	0.5	5376	Mon_Dec_02_16	Min3.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
5	NSGA	0.4622477937238122	0.0014304106958351933	0.004080693380066526	0.6494738453757534	1100.0	 NA	0.5275	0.8	0.9411764705882353	0.1111111111111111	6107	Mon_Dec_02_16	Min3.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
6	NSGA	0.4616460195531713	0.0014170148775726821	0.005090211423079049	0.840194628814288	409.0	 NA	0.4036363636363636	0.7666666666666667	0.9555555555555556	0.3	5800	Mon_Dec_02_16	Min3.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
7	NSGA	0.4518903711677382	0.001796966601786489	0.006841120791526372	0.7369574961629944	957.0	 NA	0.625	0.7333333333333333	0.813953488372093	0.2727272727272727	5992	Mon_Dec_02_16	Min3.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
8	NSGA	0.45512795059862554	0.001747859351271513	0.006762777755737383	0.7216456880505743	448.0	 NA	0.43	0.7333333333333333	0.8260869565217391	0.45454545454545453	5817	Mon_Dec_02_16	Min3.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
9	NSGA	0.45799640086815563	0.0014651202056378688	0.0041884665737015854	0.7124031130469001	1185.0	 NA	0.4825	0.7333333333333333	0.8297872340425532	0.4	5320	Mon_Dec_02_16	Min3.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
10	NSGA	0.43150764189328167	0.0014224466103333786	0.005973433030527092	0.689008754966929	2349.0	 NA	0.46	0.7	0.9285714285714286	0.45454545454545453	5128	Mon_Dec_02_16	Min3.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
11	NSGA	0.46695698243639755	0.001512341017333405	0.003921435850813521	0.56089664056185	336.0	 NA	0.49	0.7333333333333333	0.7631578947368421	0.42857142857142855	5431	Mon_Dec_02_16	Min3.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
12	NSGA	0.4712616836495573	0.0015438685156215018	0.0029088998941206906	0.6005539690587456	642.0	 NA	0.4775	0.8	0.92	0.36363636363636365	5236	Mon_Dec_02_16	Min3.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
13	NSGA	0.4623722056089776	0.001447298467130345	0.005241732393553059	0.6924058914517194	728.0	 NA	0.4775	0.7666666666666667	0.9074074074074074	0.45454545454545453	5458	Mon_Dec_02_16	Min3.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
14	NSGA	0.4513394266795198	0.0012735609087150494	0.005457148090277477	0.7977383815160082	1232.0	 NA	0.39	0.7666666666666667	0.9148936170212766	0.375	5186	Mon_Dec_02_16	Min3.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
15	NSGA	0.45652066064243213	0.0014674345165911812	0.004270668010367405	0.7158901337212491	1536.0	 NA	0.5025	0.7666666666666667	0.9545454545454546	0.375	5018	Mon_Dec_02_16	Min3.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
16	NSGA	0.46133521477920625	0.0015413409129466887	0.005153545320141163	0.6540708647422748	819.0	 NA	0.4725	0.7666666666666667	0.9047619047619048	0.3	5395	Mon_Dec_02_16	Min3.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
17	NSGA	0.4524610907235285	0.001715233778606564	0.005348967538008018	0.8015953973842267	1498.0	 NA	0.5425	0.7666666666666667	0.8918918918918919	0.2	5251	Mon_Dec_02_16	Min3.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
18	NSGA	0.45525589467728156	0.0013912419057744072	0.006821570205903042	0.6751408298744481	578.0	 NA	0.4433249370277078	0.7333333333333333	0.8367346938775511	0.8181818181818182	5527	Mon_Dec_02_16	Min3.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
19	NSGA	0.4544141856280962	0.0013705363523171723	0.0054575695324933365	0.6541892789230762	1495.0	 NA	0.75	0.7333333333333333	0.9024390243902439	0.5	5326	Mon_Dec_02_16	Min3.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
20	NSGA	0.45716594093972535	0.0011359523007622647	0.005305925476933419	0.7293932083843468	1366.0	 NA	0.8571428571428571	0.7333333333333333	0.9375	0.16666666666666666	5160	Mon_Dec_02_16	Min3.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
21	NSGA	0.4617812822976198	0.0012693698277518582	0.005190315902734282	0.651200560549679	1029.0	 NA	0.67	0.7666666666666667	0.9111111111111111	0.4444444444444444	5241	Mon_Dec_02_16	Min3.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
22	NSGA	0.4559279182595765	0.001467977890016624	0.005232804203112573	0.7090618987409879	1146.0	 NA	0.6525	0.7666666666666667	0.9069767441860465	0.4444444444444444	5321	Mon_Dec_02_16	Min3.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
23	NSGA	0.45873903517708287	0.0015878599873305616	0.004055822120417781	0.6966013586004923	1023.0	 NA	0.5	0.7666666666666667	0.8928571428571429	0.3	5293	Mon_Dec_02_16	Min3.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
24	NSGA	0.4442974265571617	0.0016748784149786843	0.0038685476147935285	0.7294022526020651	2235.0	 NA	0.355	0.8	0.9230769230769231	0.25	5418	Mon_Dec_02_16	Min3.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
25	NSGA	0.43707256736948685	0.001766076314511085	0.008524470464345039	0.6955934375293218	1194.0	 NA	0.23961661341853036	0.7	0.8043478260869565	0.2222222222222222	5634	Mon_Dec_02_16	Min3.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
