ID_EXPERIMENTO	 ALGORITMO	 HYPER_VOLUME	 GD	 IGD	 SPREAD	 EPSILON	 CS.NSGA	 CS.SPEA	 CS.ILS	 CS.OPMOP	 CS.MILS	 TEMPO_EXEC	 DATA_HORA_EXECUCAO	 CENARIO	 TEMPO_SIMULACAO	 ALGORITMO 	 TAM_POP	 NUM_AVA_FUNC_OBJ	 PROB_CRUZ	 PROB_MUT	 NUM_OBJ	 TIPO_CODIFICACAO	 TIPO_CRUZAMENTO	 TIPO_MUTACAO	 CONJUNTO_OBJ
1	NSGA	0.3434750783541923	8.839981744081772E-4	0.0030118552122048534	0.8484341160066988	3701.0	 NA	0.165	0.7666666666666667	0.7936507936507936	0.75	6415	Mon_Dec_02_15	Min1.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
2	NSGA	0.35249741431998316	8.462237026564699E-4	0.0026313256010378574	0.7047658691469812	1066.0	 NA	0.3825	0.8	0.7719298245614035	0.2222222222222222	6465	Mon_Dec_02_15	Min1.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
3	NSGA	0.35857305414873164	0.0010178919309803366	0.003268162446203204	0.8647329645957533	2548.0	 NA	0.3625	0.7333333333333333	0.8571428571428571	0.25	6637	Mon_Dec_02_15	Min1.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
4	NSGA	0.3595939407168741	0.0010723094682164934	0.0024929451490126255	0.8236955618892512	2681.0	 NA	0.2675	0.8	0.75	0.3333333333333333	6165	Mon_Dec_02_15	Min1.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
5	NSGA	0.3492630335997466	8.335035026839152E-4	0.0029131774674816934	0.8229874635369729	3416.0	 NA	0.45	0.8	0.7547169811320755	0.7	7088	Mon_Dec_02_15	Min1.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
6	NSGA	0.362510412878046	0.0012894508841291164	0.0015898680663818821	0.7682934919372642	1159.0	 NA	0.23	0.8	0.7307692307692307	0.42857142857142855	7315	Mon_Dec_02_15	Min1.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
7	NSGA	0.3614194036681792	0.0014296125015929358	0.0027085053820204235	0.7666938916991408	2470.0	 NA	0.2125	0.8	0.8	0.3333333333333333	6430	Mon_Dec_02_15	Min1.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
8	NSGA	0.3593566240319651	0.0011845151577320355	0.0028397078176509087	0.891644514235543	2850.0	 NA	0.0925	0.8	0.8214285714285714	0.3333333333333333	7189	Mon_Dec_02_15	Min1.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
9	NSGA	0.366732021395892	9.185443608332752E-4	0.0024399768813371096	0.8153975651667552	1880.0	 NA	0.38	0.8	0.8620689655172413	0.375	6948	Mon_Dec_02_15	Min1.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
10	NSGA	0.34142544697478266	0.0013828753981165562	0.00266075441174876	0.7880970070562041	2901.0	 NA	0.385	0.8	0.8627450980392157	0.25	6703	Mon_Dec_02_15	Min1.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
11	NSGA	0.36588891304717247	9.716890505693536E-4	0.001479340701492369	0.8210432455296677	2528.0	 NA	0.3	0.8	0.8269230769230769	0.3333333333333333	6455	Mon_Dec_02_15	Min1.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
12	NSGA	0.37066319380275004	0.0011986087377682635	0.0014918485864515588	0.8014886266746959	1837.0	 NA	0.185	0.8	0.8958333333333334	0.2222222222222222	6244	Mon_Dec_02_15	Min1.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
13	NSGA	0.3454188899339197	0.0014448512446650255	0.0036792757932109696	0.8719230606799482	3074.0	 NA	0.2975	0.7333333333333333	0.7068965517241379	0.42857142857142855	6436	Mon_Dec_02_15	Min1.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
14	NSGA	0.3346077112182984	8.156799699289132E-4	0.002875542854212243	0.8697410366903386	4288.0	 NA	0.375	0.8	0.8484848484848485	0.3	6223	Mon_Dec_02_15	Min1.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
15	NSGA	0.3532522981584217	8.591008027662969E-4	0.0017147500876021928	0.8624810924019727	3314.0	 NA	0.2225	0.8666666666666667	0.873015873015873	0.3333333333333333	6225	Mon_Dec_02_15	Min1.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
16	NSGA	0.36715431233065315	8.911676248542695E-4	0.0028028576818186803	0.8484870219280168	2079.0	 NA	0.18	0.8	0.78125	0.5	6427	Mon_Dec_02_15	Min1.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
17	NSGA	0.36409804615207875	0.0010025011978178672	0.0025318165552027268	0.7985513634116769	2040.0	 NA	0.3825	0.8	0.8653846153846154	0.42857142857142855	6354	Mon_Dec_02_15	Min1.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
18	NSGA	0.3440539642306354	9.424530483717734E-4	0.0038623086776730098	0.7744575891648601	3345.0	 NA	0.31	0.7333333333333333	0.7	0.25	6522	Mon_Dec_02_15	Min1.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
19	NSGA	0.3563328409421652	0.0011033395328351283	0.0017002777846613214	0.8781293331902428	2872.0	 NA	0.215	0.8666666666666667	0.8333333333333334	0.5714285714285714	6221	Mon_Dec_02_15	Min1.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
20	NSGA	0.3607047252472956	9.67437474091087E-4	0.0036230010726352366	0.886900462882529	1585.0	 NA	0.2575	0.7333333333333333	0.7213114754098361	0.0	6752	Mon_Dec_02_15	Min1.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
21	NSGA	0.33760742944898553	9.472828614405821E-4	0.0031107159959570386	0.8593912290467497	4238.0	 NA	0.3	0.8	0.7678571428571429	0.3333333333333333	6366	Mon_Dec_02_15	Min1.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
22	NSGA	0.3615609411131918	0.0013962742470412547	0.004134325112015898	0.8559321764947396	2178.0	 NA	0.2975	0.7333333333333333	0.803921568627451	0.4666666666666667	6630	Mon_Dec_02_15	Min1.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
23	NSGA	0.33974367917259174	0.0011219981169431523	0.0027606537772291054	0.817097361999031	3955.0	 NA	0.5425	0.8	0.8596491228070176	0.2727272727272727	6200	Mon_Dec_02_15	Min1.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
24	NSGA	0.3665848507246921	0.0010880643823029765	0.0027217670119030375	0.7669884572741131	1811.0	 NA	0.2925	0.8	0.8070175438596491	0.375	6492	Mon_Dec_02_15	Min1.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
25	NSGA	0.3515002409373638	0.001351744877216789	0.002981751706918912	0.9139366752565797	1863.0	 NA	0.5725	0.8	0.8771929824561403	0.4444444444444444	7047	Mon_Dec_02_15	Min1.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
26	NSGA	0.35791517685134305	0.0011675817905478611	0.0032146104307921126	0.7768402207664024	1802.0	 NA	0.37	0.7333333333333333	0.72	0.4444444444444444	6287	Mon_Dec_02_15	Min1.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
